2
/Backgrounds/Ambience
ButterflySwarm1 40x646
Cursor_17 22x22
IconEverythingAnimated 434x960
Wires_2 32x32
Wires_11 16x16
IconReset 16x16
Camera_6 32x32
DefaultResourcePackIcon 60x60
InfoIcon_12 14x14
Cursor_16 22x22
BuilderIcons 160x32
IconSnapshot 16x16
HotbarRadial_2 36x36
IconHallowCorruptionTraps 60x58
ChestCraft_0 32x34
Glyphs_0 700x84
Wires_1 40x40
Camera_2 32x32
VK_Backspace 54x26
DisplaySlots_7 26x28
Emotes 64x32
Cursor_9 22x22
IconHallowCorruption 60x58
SmartCursorArrow 144x18
IconPlayPause 16x32
GolfBall_Map 10x10
IconHallowEverything 60x58
ButtonBacking 22x22
IconHallowCorruptionCrimson 60x58
InfoIcon_8 14x14
IconQuickload 40x40
IconHallowCorruptionNotTheBees 60x58
IconCorruptionTraps 60x58
InfoIcon_10 14x14
ButtonRename 22x22
DisplaySlots_9 32x32
IconCrimsonRemix 60x58
Cursor_3 20x20
InfoIcon_11 14x14
InfoIcon_13 18x18
PanelBackground 28x28
TexturePackButtonsOutline 64x64
Wires_3 32x32
IconCrimsonDontStarve 60x58
GolfBall_Arrow_Shadow 20x32
Camera_5 32x32
SpawnPoint 22x26
ChestCraft_3 32x34
ButtonCloudActive 22x22
DisplaySlots_2 28x26
IconHallowCrimsonFTW 60x58
ChestStack_2 32x30
VK_Shift 26x26
EmoteBubbleBorder 36x30
Banner_Toggle_2 36x34
Achievement_Categories 136x68
IconCompletion 64x70
Craft_Toggle_1 32x34
IconHallowCrimsonTraps 60x58
Reforge_0 30x30
Bestiary 64x30
SearchCancel 24x24
IconSkyblock 60x58
InfoIcon_3 14x14
Radial 112x112
UI_quickicon1 6x16
Camera_1 32x32
IconCorruption 60x58
NPCHappiness 96x24
/UI/Minimap/TwigLeaf
MinimapButton_Reset 20x22
MinimapButton_ZoomIn 20x22
MinimapButton_ZoomOut 20x22
MinimapFrame 272x270
/UI/PlayerResourceSets/FancyClassic
Star_B 30x22
Star_C 30x28
Heart_Single_Fancy 36x38
Heart_Right 26x30
Star_Fill 22x24
Heart_Fill_B 22x22
Star_A 30x26
Heart_Left 28x30
Heart_Fill 22x22
Heart_Right_Fancy 36x38
Heart_Middle 24x30
Star_Single 30x32
/
Item_2275 28x18
Acc_Neck_7 40x1120
Item_1049 16x24
Item_4216 32x28
Gore_74 20x14
Item_1396 16x38
Item_1411 18x32
Item_1781 24x14
Item_3025 16x24
Item_4491 24x24
Glow_313 288x396
Item_5771 32x32
Item_5986 14x30
Item_1890 24x24
NPC_203 40x896
Armor_Head_176 40x1120
Gore_1324 26x34
Wall_113 468x180
Item_2246 30x22
Gore_174 12x14
Tiles_651 486x36
Tiles_149 108x72
Item_1048 16x24
Gore_534 14x14
Item_3490 38x38
Item_4524 24x24
Item_917 30x22
Item_3804 26x22
Item_4080 32x32
Item_1922 18x18
Glow_166 32x1380
Player_Hair_110 40x784
Projectile_1019 64x64
Wall_198 468x180
Gore_976 32x26
Armor_Head_7 40x1118
Gore_501 22x20
Extra_100 40x56
Item_982 28x20
Wall_350 468x180
Item_959 28x20
Item_2667 24x28
Item_5213 32x32
Item_2964 12x28
Projectile_686 34x90
Tiles_406 54x392
Glow_175 60x24
Buff_67 32x32
Glow_120 54x34
Item_4436 22x32
NPC_57 38x168
Armor_Head_42 40x1120
Glow_324 30x30
Armor_Legs_68 40x1120
Armor_Head_65 38x1100
Item_1766 34x32
Item_5416 24x24
Item_1357 18x26
Item_5475 44x40
Item_5747 18x32
Chain40 14x18
Item_1610 32x22
NPC_107 40x1400
Item_4816 26x28
Projectile_1029 24x168
Buff_73 32x32
Item_2888 30x56
Gore_1312 20x12
Item_3146 24x14
Glow_224 68x918
Item_4666 18x22
Buff_72 32x32
Item_2922 12x28
Item_3811 22x22
Item_3239 32x16
Glow_269 36x432
Item_5772 38x26
Tiles_660 90x36
Player_Hair_63 40x784
Item_3318 32x32
Buff_240 32x32
Item_5612 14x30
NPC_266 200x1456
Item_404 22x18
NPC_Head_Boss_38 28x30
Item_3359 32x32
Item_4871 16x28
Item_2556 16x20
Inventory_Back9 52x52
Tiles_261 324x90
Item_2968 12x28
Tiles_9 288x270
Map_7 32x30
Armor_Head_273 40x1120
Item_4243 24x24
Item_4841 28x28
Tiles_128 70x52
Item_5167 32x28
Item_2261 16x16
Item_4589 30x22
MapBG36 115x65
Gore_144 46x32
Item_141 16x16
Item_5815 32x22
logo_4 800x600
Item_167 10x32
Background_233 1024x540
Item_204 38x38
Wall_164 468x180
Glow_243 54x432
Item_3426 12x28
Armor_Head_40 40x1120
Player_HairAlt_180 40x784
Item_1138 18x32
Item_1262 52x22
Item_3038 16x24
Item_2843 26x30
Item_4504 24x24
NPC_526 36x416
Projectile_989 30x30
Item_1879 34x26
Item_4397 22x32
Armor_Legs_232 40x1120
Projectile_167 14x28
Wall_172 468x1440
Gore_625 14x16
Projectile_249 12x60
Item_3728 16x16
Projectile_291 1x1
Armor_Head_238 40x1120
Buff_147 32x32
Gore_1198 22x14
Item_2272 44x32
OneDropLogo 19x19
Wall_340 468x180
Item_2366 40x40
Buff_310 32x32
Player_HairAlt_13 40x784
Gore_387 20x28
Item_3725 16x16
Projectile_443 102x408
Coin_2 12x144
Item_1442 24x28
Item_2471 34x34
Item_2592 20x32
Item_4118 16x26
Item_3202 22x36
Item_728 30x20
Gore_1256 28x18
Player_Hair_170 40x784
Gore_885 28x16
Item_3855 22x26
Moon_Pumpkin 50x400
Background_299 1024x600
Player_Hair_193 40x784
Extra_294 22x36
Player_Hair_31 40x784
Tiles_193 288x270
Background_311 2048x1200
Item_563 32x20
Item_2634 36x26
Projectile_1032 38x190
Buff_251 32x32
Gore_1285 20x14
Item_822 30x28
Item_5349 18x20
Item_3958 34x16
Tiles_19 486x1260
Item_183 22x24
Item_3405 12x28
Buff_370 32x32
Tiles_344 234x360
SmartDig 20x20
Item_2736 24x34
Item_5840 36x18
Background_265 1024x727
Gore_319 22x16
Gore_22 12x24
Gore_86 18x22
Acc_Face_13 40x1120
Player_HairAlt_64 40x784
Tiles_159 288x270
Projectile_1011 8x20
ItemFlame_2274 14x16
Item_2704 24x34
Item_3345 24x24
Item_541 24x8
Tiles_202 288x270
Item_4465 34x20
NPC_277 50x842
Projectile_163 8x20
Item_4258 48x48
Tiles_281 108x1026
Wall_246 468x180
Tiles_741 234x180
Background_49 48x1300
NPC_Head_Boss_9 30x24
Item_4684 32x32
Item_5953 16x16
Wall_249 468x180
Buff_260 32x32
Item_306 32x28
Item_5317 24x36
Player_4_6 360x224
Projectile_620 16x16
Wings_45 48x192
Armor_Head_225 40x1120
Wall_106 468x180
Wings_10 86x248
Item_442 24x32
Item_4884 34x32
Projectile_193 50x864
Wall_1 468x180
Item_1718 30x22
Background_293 192x96
Glow_288 24x72
Gore_1187 38x52
Gore_803 36x24
Item_4302 30x32
Gem_5 40x28
Item_1283 34x28
NPC_16 44x68
Gore_1197 12x14
Gore_704 8x10
Item_1039 16x24
NPC_165 62x248
NPC_523 50x250
Player_Hair_213 40x784
Projectile_300 38x38
Item_1265 48x36
Gore_246 26x26
Gore_557 22x16
Item_5271 30x20
Glow_105 16x24
Item_131 16x16
Item_4759 32x28
Projectile_343 18x70
Gore_460 28x32
Item_4896 24x20
Item_891 30x30
Buff_378 32x32
Background_235 2048x1080
Item_1288 30x22
Item_1289 22x18
Item_1452 12x28
Item_3258 36x38
Item_1724 20x26
Item_350 14x20
Item_514 40x24
Armor_Legs_160 40x1120
Item_1331 24x32
Gore_779 18x34
Item_4526 24x24
NPC_642 50x192
Item_2909 12x28
Projectile_687 98x686
Projectile_763 10x18
Item_2110 24x26
Item_2762 22x18
Gore_57 10x38
Item_5461 44x42
Projectile_225 18x34
Item_2173 16x16
Buff_289 32x32
Armor_Legs_132 40x1120
Gore_516 46x62
Item_3330 36x32
Item_4340 26x24
Item_2439 32x28
Item_2444 30x34
Armor_Head_8 40x1118
Item_789 12x28
NPC_32 40x336
NPC_465 38x168
Glow_314 288x396
Item_1727 16x16
Projectile_430 30x54
Projectile_655 32x32
Projectile_92 32x32
NPC_382 40x414
Tiles_306 54x648
Item_1399 16x38
Item_1939 30x20
Lock_1 50x22
Armor_Legs_80 40x1120
Item_1567 26x20
Player_Hair_47 40x784
Glow_46 22x26
Chains_5 16x8
Acc_Back_38 40x1120
Item_2682 24x24
Item_5842 24x32
LightningBug 14x64
Projectile_610 24x60
Item_2211 30x30
Gore_574 106x44
Gore_306 32x32
Item_2257 16x16
Item_2413 38x24
Buff_170 32x32
Gore_451 26x24
Item_16 30x30
Item_3170 22x32
Projectile_125 16x16
Gore_348 26x32
Buff_76 32x32
Item_4913 42x40
Tiles_221 288x270
Tiles_47 288x270
Tiles_497 72x2038
Wall_301 468x180
Item_4513 24x24
Item_3756 16x16
Gore_1027 22x18
Item_3357 32x32
Item_578 52x20
Buff_42 32x32
Item_2657 26x28
NPC_329 68x440
Projectile_66 110x110
Wall_150 468x180
Item_3409 12x28
Item_2742 32x22
Buff_317 32x32
Item_3999 22x32
Item_4517 24x24
NPC_17_Alt_1 40x1400
Armor_Legs_222 40x1120
Projectile_693 46x72
Wall_84 468x180
Item_3632 24x12
Wall_168 468x1440
Item_4367 32x32
Item_5668 82x30
Projectile_868 32x32
Gore_1351 24x24
Item_2905 12x28
Projectile_483 16x14
NPC_71 44x68
Acc_Face_10 40x1120
Gore_1386 26x18
LiquidSlope_14 72x16
NPC_87 76x156
Wall_276 468x180
Gore_1364 14x12
Item_2860 16x16
Armor_Legs_144 40x1120
Gore_1248 448x112
Gore_1297 24x34
Acc_Balloon_6 52x224
Item_3624 24x24
Item_4383 14x16
Gore_1283 22x12
Item_1418 24x18
Item_3844 12x28
Item_4881 24x32
Item_3120 30x30
Item_5078 30x20
Gore_249 24x22
Gore_424 48x48
Gore_404 42x38
Item_5298 42x36
Item_5572 14x14
Item_6079 14x30
Glow_373 56x56
NPC_292 60x1260
NPC_344 240x1900
Player_2_6 360x224
Item_2565 34x24
Item_5564 34x24
Extra_56 20x8
Armor_Legs_111 40x1120
Armor_Head_170 40x1120
NPC_253 34x234
Item_1475 20x30
Gore_1200 14x12
Item_3610 32x20
Background_277 1024x700
Item_894 20x24
Background_247 1024x550
Gore_375 34x36
Item_1782 42x24
NPC_50 174x720
NPC_648 48x280
NPC_Head_0 16x24
Projectile_1071 56x56
Item_2551 42x42
NPC_690 32x42
Item_3931 34x22
Gore_449 34x20
Item_4599 32x36
Item_2183 32x32
Item_2750 44x42
Acc_Face_12 40x1120
Item_4823 24x26
Item_1149 16x16
Item_5320 20x20
Item_5793 38x26
Item_704 30x24
Gore_73 26x28
Player_0_13 360x224
Projectile_378 24x26
Tiles_337 1296x54
Item_2210 30x30
Item_3481 40x40
Item_5289 32x32
Armor_Legs_247 40x1120
Wall_200 468x180
Item_2744 24x14
Gore_406 26x24
Glow_86 22x32
Item_127 36x24
Item_3209 40x48
Projectile_425 32x34
Item_80 30x20
Item_1194 56x30
Glow_220 60x27
Item_1482 32x32
Item_5868 36x24
Item_3121 26x28
Item_66 22x26
Item_4313 34x20
Item_4528 24x24
NPC_176 48x94
NPC_351 82x1340
Projectile_628 32x66
Extra_30 46x128
Item_2310 34x34
Item_5114 30x22
NPC_Head_Boss_24 30x30
MagicPixel 1x1000
NPC_618 150x528
Projectile_594 16x16
Tiles_543 36x612
Item_5865 32x28
Gore_956 38x28
Item_3188 26x24
Item_810 14x32
Player_Hair_149 40x784
Projectile_24 14x14
Item_406 44x44
Projectile_199 32x272
Item_846 12x28
Item_3978 16x24
Gore_1105 26x18
Gore_528 30x56
Item_2466 34x34
Item_4757 22x18
Background_108 1024x227
NPC_Head_31 18x20
Item_1015 16x24
Glow_274 40x1120
Gore_417 20x20
Armor_Legs_195 40x1120
Armor_Legs_98 40x1120
Item_4289 28x96
Item_5908 36x24
Player_HairAlt_202 40x784
Item_1611 24x24
Item_3124 32x32
Item_121 70x70
Item_3203 34x34
Item_3032 30x24
NPC_239 72x170
NPC_Head_8 22x20
Gore_276 8x16
Item_5863 16x20
Player_Hair_181 40x784
Glow_213 86x248
Item_1660 12x28
Item_5396 24x24
Item_5817 32x18
Player_Hair_28 40x784
Projectile_1017 16x16
Item_742 42x40
Item_893 28x28
Extra_236 512x512
Player_Hair_3 40x784
Gore_895 18x28
Item_3042 16x24
Item_337 12x28
Acc_Beard_1 40x1120
Projectile_414 14x14
Projectile_497 14x30
Projectile_564 16x16
Background_127 160x288
Projectile_855 18x104
Wall_318 468x180
NPC_595 20x48
Projectile_347 6x32
Glow_361 468x1440
Background_180 1024x699
Armor_Legs_172 40x1120
Item_1295 36x24
MapBGOverlay4 115x65
Projectile_33 38x38
NPC_45 40x210
Buff_204 32x32
Item_853 24x8
NPC_Head_23 24x28
Tiles_352 234x90
Item_5259 30x20
Item_3850 32x32
NPC_416 138x800
Item_3598 16x24
Gore_177 58x38
Buff_373 32x32
Confuse 16x24
Item_1544 38x40
Item_1691 12x28
Player_HairAlt_196 40x784
Moon_Snow 50x400
NPC_Head_63 32x30
Acc_Back_8 40x1120
Item_4349 20x18
Item_2789 24x24
Tiles_319 36x36
Item_3545 24x24
Gore_1343 20x26
Item_3643 32x32
Player_Hair_159 40x784
Tree_Tops_25 354x98
Item_4483 34x32
Projectile_987 30x30
Gore_452 14x18
Item_997 34x38
Item_5415 24x24
Gore_906 8x14
Tree_Branches_13 84x126
Player_HairAlt_115 40x784
Item_2716 24x34
Item_2341 50x56
Item_3108 10x20
Item_2060 34x28
Item_4565 24x24
Gore_823 26x22
Item_1080 22x20
Projectile_1109 6x12
MapBG42 115x65
Item_493 30x28
Item_1935 22x24
Projectile_41 14x32
Item_520 22x112
Tree_Tops_7 246x82
Player_9_4 360x224
AntlionBody 36x28
Item_4701 26x22
Player_Hair_185 40x784
Player_Hair_24 40x784
Acc_Back_1 40x1120
Background_172 1024x699
Background_333 1024x720
Item_1114 22x36
Item_1680 12x28
Item_2588 24x30
Armor_Head_41 40x1120
Wall_209 468x180
Tiles_226 288x270
Projectile_730 70x70
Item_4341 24x28
Item_3052 20x40
Item_3813 28x32
Wall_315 468x180
Item_1465 12x28
Item_5134 54x26
Item_3921 24x24
NPC_Head_34 22x20
Background_55 1024x533
Projectile_177 8x8
Item_5060 26x20
Item_755 30x28
Background_211 1024x533
Player_HairAlt_4 40x784
Projectile_62 18x50
Background_312 1024x600
Item_3641 24x14
Projectile_276 14x48
Moon_2 50x400
Projectile_437 14x16
Background_43 1024x371
Item_3502 36x36
Item_414 16x16
Item_5044 32x30
Item_5248 20x30
Item_3964 34x34
NPC_676 34x52
Projectile_481 22x32
Item_5654 38x40
Extra_19 32x32
Gore_446 24x24
Armor_Head_148 40x1120
Item_2988 12x28
Extra_252 64x64
FlyingCarpet 64x120
Item_1132 28x30
Item_3657 24x26
Item_76 22x18
Gore_60 16x16
NPC_318 40x64
Item_447 24x38
Player_HairAlt_109 40x784
Item_5082 20x32
Buff_114 32x32
Projectile_570 34x36
Item_4746 20x24
Gore_505 28x44
Armor_Head_80 40x1120
Item_1757 20x26
Item_4020 28x54
Item_439 26x32
Item_4933 32x50
Projectile_488 28x24
Tiles_425 180x36
Tiles_528 234x90
Extra_44 52x448
Armor_Head_78 40x1120
Item_1218 38x22
Item_1301 28x28
Item_1460 30x22
Item_1577 26x38
Item_2039 16x32
Buff_349 32x32
Glow_339 288x270
Item_150 26x28
Armor_Head_255 40x1120
Background_320 1024x512
Item_2676 24x24
NPC_Head_46 26x20
Item_2369 22x18
NPC_Head_47 30x26
Player_Hair_134 40x784
Gore_650 24x22
Gore_709 18x300
Projectile_138 16x16
Item_2708 24x34
Projectile_435 34x64
Wall_353 468x180
Gore_641 12x22
Item_4219 12x28
Item_4722 58x64
Item_5785 16x28
Projectile_352 30x30
NPC_588 42x1400
Item_2362 34x28
Tiles_130 288x270
Item_4225 30x22
Gore_1030 18x18
Gore_556 28x20
Gore_85 28x20
Wall_306 468x180
Item_5805 32x30
Glow_29 30x24
Tiles_433 234x90
Projectile_851 32x120
Player_HairAlt_150 40x784
Tiles_527 36x504
Tiles_103 218x16
Gore_1371 22x20
Item_1245 14x16
Item_3783 20x26
Item_3444 12x28
Player_HairAlt_210 40x784
Player_Hair_8 40x784
Armor_Head_230 40x1118
Item_5284 32x32
Item_3443 12x28
Item_634 26x22
Wall_205 468x180
Item_3915 32x22
Item_4720 16x18
Item_5212 16x36
Item_858 34x20
Item_884 24x24
Background_177 1024x600
Item_953 30x24
Player_HairAlt_131 40x784
Item_4769 24x10
Extra_21 36x96
Item_526 14x14
Tiles_42 70x2016
Tiles_442 86x22
Wall_121 468x180
Item_2811 34x16
Item_1466 12x28
Item_4681 32x32
Tiles_626 288x396
Projectile_204 32x32
Item_903 30x30
Gem_0 34x40
Wings_19 86x248
Item_396 24x24
Acc_Face_14 40x1118
Gore_535 20x22
Item_2498 28x20
Armor_Legs_107 40x1120
Item_353 18x60
Item_3600 16x24
Gore_164 14x20
Item_1450 40x40
Item_252 30x20
Tiles_269 70x52
Gore_585 34x24
Glow_262 288x396
Extra_184 36x368
Item_1397 30x22
Item_5217 20x30
Projectile_890 38x600
NPC_108 40x1472
Acc_Shoes_5 40x1120
NPC_233 44x144
Background_155 160x16
Item_4972 12x28
Item_2840 24x30
Player_Hair_111 40x784
NPC_552 58x672
Item_2216 34x34
Tiles_115 234x90
Item_1955 24x24
Wraith_Eyes 26x200
Tree_Branches_4 84x126
Item_2719 24x34
Item_5233 32x32
Item_5439 16x16
Tiles_304 54x54
Item_1917 34x36
Item_4951 32x42
NPC_673 46x240
Buff_39 32x32
Item_2530 16x28
Item_228 26x18
Item_6129 16x18
Item_5232 32x32
Item_1704 16x38
Projectile_493 32x32
Extra_215 32x432
Gore_791 42x22
Item_1004 34x22
Wall_90 468x180
Item_5958 18x28
Item_1910 58x20
Item_3788 60x26
Item_4005 30x30
Buff_174 32x32
Background_25 1024x434
Gore_859 34x28
Item_2629 24x14
Item_4603 28x26
Item_2394 38x28
Item_2196 28x28
Armor_Legs_61 40x1120
Item_387 56x14
Player_HairAlt_216 40x784
Projectile_52 18x32
Background_97 1024x529
Gore_790 28x24
Item_1529 32x32
Projectile_939 32x32
Item_1296 42x42
Player_HairAlt_50 40x784
Gore_1123 14x20
Gore_1237 16x16
Item_2616 32x28
Item_3905 24x16
Item_4072 20x20
Item_3150 38x26
PumpkingArm 26x96
Gore_880 16x20
NPC_683 46x616
Armor_Legs_1 40x1120
Item_1179 12x12
MapBG27 115x65
Glow_85 34x22
Gore_1059 14x40
Projectile_368 60x64
Acc_Shoes_21 40x1120
Item_2376 30x22
Extra_265 40x320
Item_395 30x28
Item_4752 32x28
Tiles_383 288x270
Tree_Branches_14 84x126
Gore_346 16x20
Buff_351 32x32
Item_3528 16x24
Glow_117 36x114
Item_5125 34x30
Item_3530 16x24
Item_4877 34x34
Item_91 24x22
Item_5084 20x32
Player_HairAlt_72 40x784
MapBG16 115x65
Projectile_970 12x72
Armor_Head_173 40x1120
Tiles_687 288x270
Tiles_737 234x180
Armor_Head_242 40x1120
Buff_188 32x32
Extra_94 34x170
Item_342 10x28
Item_4009 24x84
Mount_UFOGlow 78x368
NPC_463 32x800
Projectile_827 76x28
Wires 90x72
Item_3981 34x34
Player_Hair_36 40x784
Item_5382 54x54
BackPack_5 14x34
Gore_1160 18x300
Item_4207 16x28
Item_4926 34x46
Armor_Head_12 40x1118
Extra_90 40x54
Good_Cactus 126x54
Item_2797 42x22
Item_5170 30x20
Item_5543 24x24
Projectile_973 170x680
Projectile_521 16x16
Tiles_192 234x90
Wall_2 468x180
Item_491 28x28
Acc_Beard_2 40x1120
Glow_140 24x136
Gore_1375 30x14
Acc_HandsOn_20 40x1120
Item_1632 12x28
Gore_1270 80x102
Item_1703 16x32
Item_4334 26x24
Item_3074 32x32
Glow_327 234x90
Item_4144 32x32
Gore_69 22x24
Item_4489 24x24
Item_188 20x26
Item_5187 32x18
Item_4271 26x30
Acc_Back_21 40x1120
Armor_Head_220 40x1120
Buff_230 32x32
Item_2019 28x26
Item_2761 30x24
Item_5867 18x32
Item_6109 16x16
Item_670 18x32
Glow_112 486x18
Glow_328 50x50
Gore_1231 24x16
Item_1140 18x32
Item_2315 34x34
Item_2904 12x28
Gore_1394 10x14
Item_3934 36x22
Item_5526 28x32
NPC_286 40x170
NPC_459 80x104
NPC_519 30x30
Gore_872 16x20
Item_4288 26x84
Item_4704 22x12
Item_5422 24x24
NPC_520 100x912
Player_HairAlt_32 40x784
NPC_129 38x156
Background_41 1024x435
Projectile_221 20x60
Projectile_75 22x30
Projectile_88 2x60
NPC_220 46x56
Projectile_899 42x728
Tiles_68 288x270
Wall_95 468x180
Gore_771 12x14
Gore_517 48x56
Item_5594 24x30
NPC_172 40x210
Projectile_665 96x594
Projectile_842 12x28
Buff_341 32x32
Item_145 16x16
Gore_99 36x32
Item_1335 10x14
Tiles_126 68x34
Item_4624 18x102
Background_175 1024x700
Buff_93 32x32
Gore_1329 20x14
Item_5140 30x30
Gore_934 20x22
Item_5800 24x32
Item_6130 32x18
Item_3822 14x20
Gore_529 26x34
NPC_454 80x312
Tiles_233 486x72
Tiles_385 324x90
Tiles_59_2 288x270
Extra_263 34x30
Item_1447 30x30
Item_4001 26x36
Item_4091 16x16
Glow_21 54x26
Liquid_8 306x16
Projectile_396 20x22
Tiles_435 486x36
Acc_Back_28 40x1120
Buff_236 32x32
Gore_710 18x300
Item_407 30x24
Armor_Head_213 40x1120
Gore_1125 10x12
Item_1438 46x32
Item_4753 22x18
Projectile_551 16x16
Buff_372 32x32
Gore_288 14x18
Item_1162 24x34
Gore_995 22x18
Item_3261 30x24
Item_4888 34x32
Logo2 486x142
Item_5887 16x28
NPC_636 166x352
Tiles_636 234x90
Item_2088 10x28
Item_2756 20x30
Item_424 16x16
NPC_66 86x440
Gore_299 18x22
Item_1508 24x32
Projectile_872 144x374
Tiles_395 180x36
Item_4210 28x34
Tiles_691 288x270
Gore_361 34x36
Tiles_726 20x20
Item_1912 28x102
Gore_826 36x32
Projectile_946 94x30
Background_164 160x16
Acc_Shoes_3 40x1120
Projectile_366 30x30
Projectile_136 16x16
Armor_Legs_176 40x1120
Buff_27 32x32
Gore_635 26x24
NPC_214 60x1200
Glow_45 30x20
Projectile_1006 14x32
NPC_611 40x520
Item_189 20x26
Item_2269 52x26
Item_3084 30x32
Item_3054 14x30
Tiles_271 108x36
Projectile_471 16x16
Gore_3 26x30
Projectile_938 32x32
NPC_543 120x296
Item_4413 22x22
Tiles_286 54x756
Tiles_307 54x108
Item_2641 16x28
Player_HairAlt_134 40x784
Gore_80 48x16
Item_3328 32x32
Tiles_674 234x180
Buff_344 32x32
Wall_348 468x180
Item_6120 18x32
NPC_243 78x1920
Item_2363 22x18
NPC_421 50x252
Tree_Tops_27 354x98
Item_808 16x38
Wall_177 468x180
Gore_1103 20x16
Item_265 14x32
Item_4458 24x16
Item_2477 34x34
Item_1620 12x28
Armor_Legs_135 40x1120
Armor_Head_260 40x1120
Item_881 48x48
Item_4663 16x24
BackPack_2 14x32
NPC_493 174x364
Item_3093 26x34
Item_1346 20x20
Item_565 30x26
Item_6065 16x16
Item_892 22x28
Projectile_706 72x608
Tiles_107 288x270
Item_5735 32x26
Acc_Balloon_2 52x224
